음식id,칼로리,음식명,단백질,지방,탄수화물,당류,콜레스트롤
8650,229,햄버거_소고기패티_토마토_양상추,9.55,13.23,18.01,4.78,15.02
8651,284,햄버거_치즈,15.07,15.35,21.51,4.66,38.3
1826,413,매작과,7.51,13.15,66.11,16.42,33.42
2851,366,산자,2.31,3.09,82.17,31.35,0
4319,399,약과,4.2,4.75,84.89,16.89,0
4801,424,유과,2.81,12.83,74.23,24.15,0
299,50,국수_김치말이국수,2.15,0.8,8.67,1.38,14.83
302,54,국수_열무김치,1.88,1.28,8.7,2.33,1.92
338,61,기스면,3.78,1.07,8.98,0.05,41.65
599,66,냉면_열무냉면,2.61,0.72,12.19,3.39,8.47
1598,91,라멘_간편조리세트_매운돈코츠라멘,3.82,5.09,7.38,1.17,21.5
1599,98,라멘_돈코츠라멘,4.14,6.42,5.87,0.77,20.85
1600,89,라멘_미소라멘,4.57,2.77,11.36,1.1,20.91
1601,72,라멘_소유라멘,3.65,2.36,9.12,0.84,20.67
1602,84,라멘_시오라멘,4.68,2.13,11.54,0.93,23.31
1604,88,라면_간편조리세트_ㅤㄸㅗㅁ양꿍요괴라면,2.41,2.77,13.49,0,5.35
1605,19,라면_국물,0.44,0.96,2.08,0,0
1606,85,라면_김치,2.12,2.6,13.26,0.18,7.02
1609,84,라면_라면만,1.76,2.18,14.44,0.11,2.32
1611,174,라면_면,3.89,4.37,29.79,0,0
1613,189,라면_비빔라면,3.38,5.67,31.01,1.81,0
1615,103,라면_용기면,1.98,3.63,15.65,0.43,0
1616,28,라면_용기면_국물,0.61,1.44,3.21,0,0
1617,192,라면_용기면_면,3.5,4.95,33.42,0,0
1618,202,라면_용기면_볶음라면,4.52,5.39,33.9,3.28,0
1619,177,라면_짜장라면,3.66,4.28,31,0.63,0
1620,92,라면_짬뽕라면,2.84,3.51,12.27,0.21,14.23
1621,99,라면_치즈,2.8,3.83,13.33,0.15,17.28
1801,62,만두국,3.06,2.49,6.83,0.44,13.5
1873,146,메밀소바_간편조리세트_부타이 마제소바,5.68,4.22,21.44,3.06,29.47
2019,71,밀면_물밀면,2.46,0.5,14.19,3.68,7.37
2547,190,볶음면_간편조리세트_소고기 야끼소바,6.55,12.1,13.81,3.86,15.33
2605,136,분짜,5.91,3.66,19.75,5.47,17.97
2626,113,비빔국수,3.4,2.1,20,,
2629,153,비빔면_간편조리세트_매콤제육비빔면,5.7,5.48,20.17,4.33,7.97
3209,83,수제비_간편조리세트_들깨버섯 수제비,2.88,1.34,14.83,0.83,0
3210,110,수제비_간편조리세트_우삼겹 짬뽕 수제비,3.62,4.58,13.51,1.94,7.21
3211,79,수제비_간편조리세트_해물 백짬뽕 수제비,3.63,2.4,10.76,1.14,18.51
3850,171,스파게티_간편조리세트_감바스알리오올리오,4.78,7.44,21.33,1.08,13.1
3851,215,스파게티_간편조리세트_바질크림 빠네 파스타,5.4,9.37,27.31,2.62,3.6
3852,159,스파게티_간편조리세트_베이컨까르보나라,4.02,7.78,18.29,2.63,9.26
3853,179,스파게티_간편조리세트_볼로네제라구파스타,8.1,8.75,16.93,3.51,14.72
3854,144,스파게티_간편조리세트_쉬림프 로제파스타,4.24,7.58,14.76,3.53,11.8
